Response ID,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,.,unpredD,SincereD,DanD,TrustD,FriendD,HelpD,MoralD,UnderD,IntellD,SkillD,ConD,CreatD,CapD,AngD,DesD,EmbD,HapD,What is 2 + 4 equal to? - Equal to?,IsoD,VioD,SucD,UnpreS,SinS,DanS,TrustS,FriendS,HelpS,MorS,UndS,IntelS,SkilS,ConS,CreatS,CapS,AngS,DesirS,EmbS,JoyS,What is 1 + 3 equal to? - Equal to?,IsoS,VioS,SucS,Are you a native English speaker?,What is your age? - years,What is your gender?,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify): - Text,How politically liberal or conservative are you? - SOCIAL ISSUES,How politically liberal or conservative are you? - ECONOMIC ISSUES,"If you have any comments, please enter them here:"
R_w7PFd7eW35MuHiF,2/27/19 11:07,2/27/19 11:09,0,68.114.108.125,100,104,1,2/27/19 11:09,,,,,30.27839661,-89.77120209,anonymous,EN,1,51.0,50.0,51,50.0,52.0,51,50.0,51,50.0,51.0,8.0,50.0,49.0,50,50.0,52,28.0,6.0,100.0,16.0,50.0,51.0,50.0,56.0,51.0,50.0,25.0,50.0,52.0,50.0,49.0,50.0,47.0,51.0,50.0,23.0,51.0,50.0,4.0,87.0,49.0,50.0,1.0,34.0,1.0,5.0,,4.0,4.0,
R_111741vphxrIq2g,2/27/19 11:08,2/27/19 11:10,0,108.171.130.162,100,132,1,2/27/19 11:10,,,,,40.74360657,-73.92160034,anonymous,EN,1,78.0,40.0,83,30.0,23.0,53,85.0,55,49.0,67.0,62.0,36.0,85.0,70,70.0,90,72.0,6.0,73.0,38.0,49.0,28.0,71.0,80.0,69.0,87.0,50.0,41.0,48.0,56.0,60.0,75.0,61.0,66.0,81.0,69.0,36.0,30.0,4.0,50.0,40.0,70.0,1.0,36.0,1.0,5.0,,4.0,4.0,
R_6rigLztQeBB8LE5,2/27/19 11:08,2/27/19 11:10,0,24.18.153.117,100,111,1,2/27/19 11:10,,,,,47.32359314,-122.31869509999999,anonymous,EN,1,25.0,77.0,36,67.0,56.0,26,66.0,84,75.0,66.0,38.0,47.0,70.0,54,65.0,30,47.0,6.0,50.0,29.0,58.0,42.0,41.0,26.0,71.0,45.0,36.0,64.0,56.0,50.0,64.0,50.0,37.0,69.0,44.0,43.0,54.0,49.0,4.0,32.0,58.0,56.0,1.0,28.0,1.0,5.0,,3.0,3.0,
R_1rOHEBteowJL01R,2/27/19 11:08,2/27/19 11:10,0,209.6.192.146,100,129,1,2/27/19 11:10,,,,,42.38290405,-71.10279846,anonymous,EN,1,20.0,81.0,10,78.0,60.0,68,79.0,79,52.0,29.0,15.0,54.0,39.0,64,44.0,83,29.0,6.0,86.0,10.0,52.0,40.0,91.0,10.0,84.0,70.0,63.0,69.0,71.0,56.0,23.0,51.0,22.0,52.0,59.0,31.0,34.0,37.0,4.0,85.0,17.0,37.0,1.0,26.0,1.0,5.0,,2.0,2.0,
R_2xEqfhKEBu2lUzv,2/27/19 11:08,2/27/19 11:10,0,67.181.174.153,100,91,1,2/27/19 11:10,,,,,38.58039856,-121.49220279999999,anonymous,EN,1,35.0,56.0,52,26.0,62.0,47,33.0,23,35.0,30.0,31.0,49.0,26.0,26,33.0,61,30.0,6.0,32.0,29.0,62.0,45.0,70.0,24.0,38.0,42.0,34.0,34.0,32.0,42.0,53.0,35.0,31.0,19.0,39.0,10.0,28.0,36.0,4.0,22.0,19.0,28.0,1.0,22.0,1.0,5.0,,2.0,2.0,
R_1mWcWWTiBhcguu2,2/27/19 11:08,2/27/19 11:10,0,206.82.167.128,100,117,1,2/27/19 11:10,,,,,41.60279846,-83.6292038,anonymous,EN,1,17.0,86.0,2,83.0,83.0,82,90.0,81,82.0,84.0,37.0,68.0,84.0,5,76.0,78,50.0,6.0,60.0,5.0,86.0,79.0,85.0,47.0,67.0,70.0,66.0,78.0,49.0,63.0,59.0,64.0,40.0,64.0,22.0,74.0,59.0,75.0,4.0,64.0,44.0,44.0,1.0,39.0,2.0,5.0,,3.0,5.0,
R_1etJY2Ar29UA8Yl,2/27/19 11:08,2/27/19 11:10,0,98.251.169.14,100,143,1,2/27/19 11:10,,,,,34.94410706,-89.85440063,anonymous,EN,1,78.0,43.0,18,40.0,41.0,73,50.0,29,48.0,47.0,11.0,49.0,30.0,35,33.0,91,5.0,6.0,92.0,57.0,47.0,100.0,15.0,90.0,18.0,19.0,90.0,50.0,16.0,21.0,16.0,24.0,40.0,24.0,84.0,15.0,85.0,24.0,4.0,93.0,81.0,17.0,1.0,34.0,2.0,5.0,,5.0,5.0,None
R_3DZvK1qXhv4uYhz,2/27/19 11:07,2/27/19 11:10,0,65.182.173.135,100,159,1,2/27/19 11:10,,,,,41.69839478,-88.08249664,anonymous,EN,1,74.0,45.0,59,49.0,15.0,60,33.0,48,39.0,43.0,8.0,62.0,48.0,62,12.0,63,8.0,6.0,81.0,69.0,26.0,84.0,54.0,72.0,42.0,47.0,29.0,57.0,65.0,46.0,53.0,35.0,72.0,65.0,68.0,25.0,63.0,41.0,4.0,81.0,73.0,52.0,1.0,37.0,1.0,2.0,,4.0,4.0,
R_3Rfl48NvYbP6Ch6,2/27/19 11:08,2/27/19 11:10,0,136.160.90.35,100,121,1,2/27/19 11:10,,,,,38.97419739,-76.59490204,anonymous,EN,1,24.0,47.0,21,58.0,47.0,41,53.0,46,56.0,54.0,28.0,36.0,44.0,19,43.0,29,20.0,6.0,82.0,32.0,35.0,73.0,29.0,29.0,21.0,32.0,60.0,37.0,22.0,47.0,37.0,39.0,41.0,28.0,56.0,41.0,30.0,35.0,4.0,46.0,55.0,27.0,1.0,22.0,1.0,5.0,,2.0,5.0,
R_1IxQ4SnRnhVgaxr,2/27/19 11:08,2/27/19 11:10,0,75.4.216.39,100,153,1,2/27/19 11:10,,,,,34.00340271,-84.46050262,anonymous,EN,1,9.0,100.0,1,92.0,100.0,79,100.0,100,100.0,82.0,51.0,100.0,100.0,74,85.0,72,31.0,6.0,71.0,1.0,74.0,71.0,100.0,49.0,49.0,100.0,100.0,100.0,100.0,100.0,50.0,51.0,100.0,52.0,84.0,50.0,70.0,52.0,4.0,100.0,52.0,36.0,1.0,37.0,2.0,5.0,,1.0,1.0,
R_2fxEOnRkLvIg3MV,2/27/19 11:08,2/27/19 11:11,0,72.211.211.69,100,123,1,2/27/19 11:11,,,,,33.62680054,-117.87179569999999,anonymous,EN,1,67.0,21.0,7,71.0,30.0,40,61.0,30,61.0,51.0,30.0,19.0,41.0,40,50.0,31,29.0,6.0,89.0,11.0,31.0,70.0,19.0,43.0,29.0,40.0,83.0,23.0,18.0,39.0,31.0,23.0,60.0,39.0,40.0,19.0,20.0,29.0,4.0,78.0,73.0,29.0,1.0,25.0,1.0,2.0,,2.0,2.0,
R_2o7rcltaSzwONxf,2/27/19 11:08,2/27/19 11:11,0,69.41.96.50,100,131,1,2/27/19 11:11,,,,,32.08349609,-81.09980011,anonymous,EN,1,70.0,45.0,33,53.0,44.0,87,53.0,45,38.0,51.0,4.0,84.0,41.0,76,10.0,72,19.0,6.0,88.0,64.0,20.0,88.0,8.0,90.0,20.0,11.0,69.0,62.0,4.0,24.0,38.0,33.0,47.0,38.0,77.0,17.0,54.0,11.0,4.0,72.0,84.0,24.0,1.0,36.0,1.0,5.0,,3.0,5.0,
R_3Ge4ESHPIbUB2oo,2/27/19 11:08,2/27/19 11:11,0,74.137.135.146,100,160,1,2/27/19 11:11,,,,,38.30780029,-85.73590088,anonymous,EN,1,5.0,60.0,0,82.0,62.0,11,100.0,79,81.0,81.0,31.0,49.0,85.0,9,69.0,35,24.0,6.0,65.0,1.0,50.0,60.0,51.0,2.0,64.0,67.0,38.0,87.0,60.0,77.0,77.0,77.0,79.0,78.0,2.0,63.0,36.0,62.0,4.0,33.0,4.0,71.0,1.0,33.0,1.0,5.0,,2.0,5.0,
R_2f2uCTauFu5C2wh,2/27/19 11:08,2/27/19 11:11,0,45.4.196.127,100,177,1,2/27/19 11:11,,,,,40.75030518,-74.00140381,anonymous,EN,1,91.0,92.0,61,75.0,80.0,92,49.0,99,72.0,73.0,61.0,70.0,48.0,74,60.0,81,81.0,6.0,90.0,59.0,79.0,69.0,57.0,77.0,58.0,57.0,63.0,83.0,87.0,95.0,82.0,64.0,71.0,73.0,82.0,74.0,93.0,90.0,4.0,74.0,91.0,92.0,1.0,30.0,1.0,5.0,,4.0,3.0,its very useful
R_12zk0bjC0z1Dq0B,2/27/19 11:08,2/27/19 11:11,0,23.242.69.172,100,191,1,2/27/19 11:11,,,,,34.0308075,-118.47299960000001,anonymous,EN,1,51.0,76.0,25,72.0,81.0,45,86.0,72,86.0,81.0,45.0,88.0,81.0,66,50.0,45,28.0,6.0,81.0,15.0,72.0,86.0,50.0,66.0,35.0,71.0,81.0,76.0,66.0,76.0,77.0,40.0,82.0,56.0,72.0,30.0,46.0,50.0,4.0,82.0,45.0,20.0,1.0,46.0,1.0,4.0,,2.0,3.0,None
R_3PifIewHNh5O5DM,2/27/19 11:09,2/27/19 11:11,0,66.91.211.85,100,121,1,2/27/19 11:11,,,,,21.28109741,-157.82659909999998,anonymous,EN,1,46.0,53.0,29,47.0,21.0,54,53.0,40,53.0,44.0,27.0,48.0,49.0,15,49.0,65,11.0,6.0,78.0,29.0,53.0,70.0,41.0,53.0,47.0,52.0,69.0,38.0,37.0,48.0,50.0,20.0,51.0,19.0,46.0,24.0,44.0,38.0,4.0,74.0,51.0,51.0,1.0,38.0,2.0,5.0,,1.0,1.0,"
"
R_27HymjUPn6pe5d2,2/27/19 11:08,2/27/19 11:11,0,174.202.16.235,100,180,1,2/27/19 11:11,,,,,40.66499329,-73.95230103,anonymous,EN,1,71.0,42.0,46,43.0,35.0,61,42.0,37,58.0,41.0,18.0,37.0,52.0,70,32.0,55,17.0,6.0,73.0,35.0,33.0,92.0,40.0,68.0,20.0,35.0,64.0,24.0,22.0,28.0,31.0,26.0,39.0,22.0,60.0,25.0,53.0,28.0,4.0,73.0,65.0,24.0,1.0,34.0,1.0,5.0,,1.0,5.0,
R_1ikTufOCOSRcYzB,2/27/19 11:08,2/27/19 11:11,0,196.19.157.30,100,172,1,2/27/19 11:11,,,,,39.09970093,-94.57859802,anonymous,EN,1,28.0,57.0,18,89.0,62.0,71,50.0,23,78.0,69.0,53.0,65.0,72.0,53,62.0,74,43.0,6.0,48.0,48.0,36.0,36.0,48.0,12.0,95.0,87.0,80.0,88.0,85.0,69.0,90.0,87.0,86.0,35.0,,39.0,48.0,,4.0,77.0,,89.0,1.0,26.0,2.0,4.0,,7.0,7.0,
R_33vuAByTOfWMO4d,2/27/19 11:08,2/27/19 11:11,0,196.17.64.116,100,175,1,2/27/19 11:11,,,,,34.05439758,-118.2440033,anonymous,EN,1,66.0,65.0,68,76.0,67.0,62,81.0,58,66.0,71.0,79.0,72.0,77.0,74,63.0,82,62.0,6.0,76.0,76.0,81.0,69.0,58.0,70.0,62.0,76.0,70.0,85.0,77.0,77.0,68.0,80.0,67.0,72.0,54.0,67.0,83.0,73.0,4.0,73.0,79.0,76.0,1.0,25.0,1.0,4.0,,7.0,7.0,good
R_21aIHbzowywys3P,2/27/19 11:08,2/27/19 11:11,0,64.98.48.139,100,190,1,2/27/19 11:11,,,,,39.58050537,-104.90110020000002,anonymous,EN,1,50.0,51.0,50,50.0,50.0,50,50.0,51,50.0,50.0,50.0,51.0,50.0,50,50.0,50,50.0,6.0,50.0,50.0,50.0,50.0,51.0,50.0,50.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0,49.0,50.0,4.0,50.0,49.0,51.0,1.0,43.0,1.0,5.0,,3.0,3.0,There's not enough information with that simple description to give accurate impressions for the questions you asked
R_21nDGMCvJBFJy0k,2/27/19 11:08,2/27/19 11:11,0,72.221.81.54,100,153,1,2/27/19 11:11,,,,,41.77160645,-71.46589661,anonymous,EN,1,61.0,41.0,19,8.0,40.0,91,40.0,30,39.0,30.0,8.0,18.0,29.0,50,8.0,91,9.0,6.0,92.0,9.0,29.0,91.0,49.0,61.0,19.0,50.0,39.0,49.0,40.0,51.0,9.0,60.0,71.0,8.0,51.0,8.0,92.0,19.0,4.0,91.0,51.0,8.0,1.0,40.0,1.0,5.0,,5.0,5.0,
R_2Xh8xbmvenB5ktS,2/27/19 11:08,2/27/19 11:11,0,199.111.230.39,100,173,1,2/27/19 11:11,,,,,38.09359741,-78.56230164,anonymous,EN,1,3.0,46.0,2,74.0,44.0,47,54.0,15,85.0,74.0,18.0,72.0,100.0,29,75.0,74,52.0,6.0,11.0,0.0,59.0,48.0,3.0,63.0,2.0,20.0,3.0,52.0,51.0,71.0,64.0,60.0,58.0,15.0,40.0,49.0,59.0,23.0,4.0,7.0,95.0,39.0,1.0,39.0,1.0,5.0,,2.0,1.0,
R_1IgFXQ0ay7aBxXU,2/27/19 11:08,2/27/19 11:11,0,174.193.144.2,100,180,1,2/27/19 11:11,,,,,35.31930542,-80.74559784,anonymous,EN,1,50.0,80.0,29,50.0,70.0,50,80.0,62,71.0,70.0,19.0,71.0,71.0,30,60.0,60,8.0,6.0,10.0,19.0,60.0,71.0,61.0,52.0,29.0,51.0,50.0,72.0,56.0,67.0,69.0,40.0,81.0,61.0,43.0,50.0,70.0,51.0,4.0,19.0,39.0,61.0,1.0,27.0,1.0,5.0,,3.0,5.0,
R_1GQsdjznQ6Lp419,2/27/19 11:08,2/27/19 11:11,0,24.238.85.173,100,206,1,2/27/19 11:11,,,,,40.98599243,-75.24359894,anonymous,EN,1,51.0,91.0,1,92.0,88.0,20,98.0,95,98.0,90.0,11.0,95.0,98.0,34,90.0,52,22.0,6.0,35.0,11.0,87.0,24.0,76.0,7.0,59.0,94.0,54.0,55.0,28.0,85.0,48.0,71.0,94.0,49.0,24.0,41.0,72.0,31.0,4.0,38.0,37.0,10.0,1.0,28.0,2.0,2.0,,4.0,4.0,
R_2U4WUforsB738Ee,2/27/19 11:08,2/27/19 11:11,0,107.77.201.229,100,157,1,2/27/19 11:11,,,,,32.8697052,-96.93890381,anonymous,EN,1,2.0,84.0,4,91.0,78.0,7,82.0,75,78.0,82.0,2.0,55.0,90.0,11,76.0,45,1.0,6.0,92.0,4.0,81.0,60.0,83.0,15.0,87.0,83.0,5.0,82.0,81.0,81.0,52.0,15.0,88.0,84.0,17.0,48.0,14.0,8.0,4.0,87.0,21.0,50.0,1.0,43.0,2.0,5.0,,3.0,3.0,
R_1C8C7jy4UTYvvoQ,2/27/19 11:09,2/27/19 11:11,0,208.87.234.180,100,131,1,2/27/19 11:11,,,,,37.75100708,-97.82199859999999,anonymous,EN,1,94.0,87.0,23,82.0,62.0,30,84.0,45,85.0,81.0,23.0,78.0,62.0,19,22.0,47,33.0,6.0,90.0,23.0,50.0,98.0,85.0,94.0,48.0,75.0,63.0,87.0,78.0,78.0,72.0,46.0,63.0,67.0,29.0,38.0,81.0,52.0,4.0,82.0,91.0,61.0,1.0,30.0,1.0,5.0,,6.0,7.0,
R_vwso4z5x2nuIhTH,2/27/19 11:09,2/27/19 11:11,0,129.112.109.41,100,149,1,2/27/19 11:11,,,,,32.82519531,-96.83879852,anonymous,EN,1,17.0,69.0,10,68.0,64.0,46,68.0,69,76.0,72.0,31.0,73.0,75.0,22,70.0,83,11.0,6.0,83.0,10.0,60.0,31.0,69.0,14.0,62.0,72.0,21.0,75.0,68.0,73.0,68.0,54.0,65.0,63.0,23.0,71.0,45.0,61.0,4.0,44.0,23.0,59.0,1.0,33.0,1.0,5.0,,2.0,2.0,
R_2QYT5YcW67NcES1,2/27/19 11:08,2/27/19 11:11,0,76.180.67.64,100,214,1,2/27/19 11:11,,,,,42.92970276,-78.74340057,anonymous,EN,1,29.0,72.0,5,62.0,70.0,35,54.0,53,57.0,55.0,20.0,56.0,63.0,16,56.0,46,27.0,6.0,69.0,14.0,51.0,39.0,51.0,19.0,57.0,55.0,38.0,74.0,71.0,62.0,54.0,39.0,51.0,54.0,24.0,48.0,41.0,49.0,4.0,90.0,25.0,35.0,1.0,30.0,1.0,5.0,,1.0,2.0,
R_CmC3mvGOVK2vdqV,2/27/19 11:08,2/27/19 11:11,0,67.11.236.151,100,206,1,2/27/19 11:11,,,,,29.4598999,-98.74790192,anonymous,EN,1,51.0,82.0,51,50.0,52.0,93,51.0,52,100.0,92.0,56.0,51.0,100.0,51,50.0,71,45.0,6.0,100.0,50.0,100.0,100.0,50.0,81.0,25.0,51.0,54.0,50.0,51.0,87.0,51.0,50.0,95.0,51.0,51.0,50.0,75.0,50.0,4.0,51.0,52.0,46.0,1.0,33.0,2.0,4.0,,4.0,4.0,
R_3M9lFXUFy9yzCLH,2/27/19 11:08,2/27/19 11:11,0,71.93.128.196,100,167,1,2/27/19 11:11,,,,,34.13540649,-117.59899899999999,anonymous,EN,1,32.0,47.0,11,51.0,20.0,42,34.0,62,10.0,24.0,75.0,23.0,59.0,39,73.0,40,30.0,6.0,65.0,17.0,12.0,29.0,57.0,43.0,11.0,15.0,12.0,20.0,22.0,16.0,8.0,21.0,52.0,24.0,38.0,23.0,24.0,22.0,4.0,62.0,32.0,25.0,1.0,33.0,2.0,3.0,,2.0,4.0,
R_0HxW94VSSFvZPpv,2/27/19 11:09,2/27/19 11:11,0,68.8.0.195,100,127,1,2/27/19 11:11,,,,,32.79159546,-116.9710007,anonymous,EN,1,64.0,28.0,56,32.0,22.0,71,38.0,39,52.0,43.0,38.0,17.0,43.0,54,30.0,74,27.0,6.0,82.0,47.0,41.0,92.0,56.0,45.0,16.0,22.0,79.0,18.0,47.0,47.0,33.0,36.0,70.0,21.0,84.0,27.0,36.0,35.0,4.0,89.0,64.0,19.0,1.0,32.0,1.0,5.0,,7.0,7.0,
R_1nPIkUlPQL5KhES,2/27/19 11:09,2/27/19 11:11,0,73.155.50.63,100,161,1,2/27/19 11:11,,,,,30.21209717,-95.52629852,anonymous,EN,1,44.0,30.0,0,48.0,22.0,20,50.0,26,67.0,45.0,19.0,70.0,70.0,13,45.0,81,0.0,6.0,82.0,18.0,36.0,87.0,31.0,82.0,20.0,20.0,75.0,49.0,13.0,50.0,20.0,15.0,61.0,10.0,62.0,31.0,82.0,13.0,4.0,68.0,70.0,13.0,1.0,27.0,1.0,5.0,,2.0,2.0,
R_2RaVo9WWQMzYgTz,2/27/19 11:08,2/27/19 11:11,0,196.19.177.240,100,203,1,2/27/19 11:11,,,,,39.09970093,-94.57859802,anonymous,EN,1,84.0,75.0,80,81.0,90.0,74,85.0,92,81.0,85.0,93.0,93.0,84.0,84,90.0,72,86.0,6.0,68.0,88.0,71.0,85.0,82.0,81.0,83.0,95.0,71.0,74.0,73.0,83.0,77.0,86.0,93.0,76.0,69.0,62.0,89.0,62.0,4.0,69.0,76.0,87.0,1.0,27.0,2.0,5.0,,7.0,6.0,Good survey
R_Q691DaSCeCHEbBf,2/27/19 11:08,2/27/19 11:11,0,68.82.74.124,100,204,1,2/27/19 11:11,,,,,40.20840454,-74.82910156,anonymous,EN,1,22.0,42.0,29,20.0,42.0,58,16.0,31,50.0,43.0,17.0,34.0,20.0,29,35.0,55,24.0,6.0,81.0,20.0,44.0,79.0,50.0,68.0,16.0,30.0,25.0,50.0,13.0,50.0,50.0,70.0,71.0,14.0,56.0,18.0,13.0,50.0,4.0,65.0,50.0,11.0,1.0,31.0,1.0,5.0,,4.0,4.0,
R_2YhpVsLJ2fJAzMq,2/27/19 11:08,2/27/19 11:11,0,204.225.208.7,100,209,1,2/27/19 11:11,,,,,40.75999451,-73.53179932,anonymous,EN,1,61.0,62.0,30,36.0,49.0,81,57.0,40,40.0,51.0,5.0,19.0,59.0,65,11.0,61,7.0,6.0,61.0,30.0,30.0,87.0,11.0,76.0,14.0,43.0,81.0,50.0,42.0,29.0,30.0,31.0,62.0,6.0,55.0,5.0,4.0,38.0,4.0,79.0,62.0,4.0,1.0,41.0,2.0,2.0,,3.0,5.0,
R_RbiSwvBbsHNCsF3,2/27/19 11:08,2/27/19 11:11,0,205.197.219.74,100,220,1,2/27/19 11:11,,,,,38.73880005,-112.07440190000001,anonymous,EN,1,18.0,92.0,4,78.0,26.0,60,50.0,95,80.0,89.0,38.0,5.0,93.0,19,51.0,39,1.0,6.0,61.0,3.0,67.0,91.0,70.0,14.0,50.0,50.0,86.0,50.0,61.0,50.0,50.0,41.0,87.0,74.0,18.0,30.0,61.0,2.0,4.0,91.0,11.0,9.0,1.0,35.0,2.0,5.0,,7.0,7.0,
R_2En2YFu3SX0N2RU,2/27/19 11:08,2/27/19 11:11,0,146.168.55.204,100,192,1,2/27/19 11:11,,,,,41.13499451,-75.93759918,anonymous,EN,1,72.0,87.0,50,81.0,68.0,14,90.0,100,100.0,88.0,20.0,100.0,83.0,76,49.0,6,4.0,6.0,95.0,52.0,70.0,100.0,94.0,100.0,2.0,32.0,33.0,77.0,18.0,68.0,13.0,8.0,50.0,51.0,84.0,24.0,80.0,16.0,4.0,48.0,88.0,5.0,1.0,45.0,1.0,5.0,,7.0,7.0,
